"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2986","Test Case 8: Verify All Products and product detail page","Automation Exercise - Products Feature","Tue Nov 19 02:01:40 GMT 2024","passed","Tue Nov 19 02:01:43 GMT 2024","","","",""
"","4477","Test Case 6: Contact Us Form","Automation Exercise - Contact Us Feature","Tue Nov 19 02:00:59 GMT 2024","passed","Tue Nov 19 02:01:03 GMT 2024","","","",""
"","2658","Test Case 9: Search Product","Automation Exercise - Products Feature","Tue Nov 19 02:01:43 GMT 2024","passed","Tue Nov 19 02:01:45 GMT 2024","","","",""
"","8392","Test Case 1: Register User","Automation Exercise - Login Feature","Tue Nov 19 02:01:10 GMT 2024","passed","Tue Nov 19 02:01:19 GMT 2024","","","",""
"","4578","Test Case 4: Logout User","Automation Exercise - Login Feature","Tue Nov 19 02:01:25 GMT 2024","passed","Tue Nov 19 02:01:30 GMT 2024","","","",""
"","2617","Test Case 5: Register User with existing email","Automation Exercise - Login Feature","Tue Nov 19 02:01:30 GMT 2024","passed","Tue Nov 19 02:01:32 GMT 2024","","","",""
"","1756","Test Case 10: Verify Subscription in home page","Automation Exercise","Tue Nov 19 02:02:04 GMT 2024","passed","Tue Nov 19 02:02:05 GMT 2024","","","",""
"","3202","Test Case 2: Login User with correct email and password","Automation Exercise - Login Feature","Tue Nov 19 02:01:19 GMT 2024","passed","Tue Nov 19 02:01:22 GMT 2024","","","",""
"","15152","Test Case 15: Place Order: Register before Checkout","Automation Exercise - Products Feature","Tue Nov 19 02:01:45 GMT 2024","passed","Tue Nov 19 02:02:01 GMT 2024","","","",""
"","2762","Test Case 3: Login User with incorrect email and password","Automation Exercise - Login Feature","Tue Nov 19 02:01:22 GMT 2024","passed","Tue Nov 19 02:01:25 GMT 2024","","","",""
