"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5358","Test Case 9: Search Product","Automation Exercise - Products Feature","Mon Nov 18 21:42:36 BRT 2024","passed","Mon Nov 18 21:42:41 BRT 2024","","","",""
"","22871","Test Case 15: Place Order: Register before Checkout","Automation Exercise - Products Feature","Mon Nov 18 21:42:41 BRT 2024","passed","Mon Nov 18 21:43:04 BRT 2024","","","",""
"","6084","Test Case 4: Logout User","Automation Exercise - Login Feature","Mon Nov 18 21:43:38 BRT 2024","passed","Mon Nov 18 21:43:44 BRT 2024","","","",""
"","12106","Test Case 1: Register User","Automation Exercise - Login Feature","Mon Nov 18 21:43:13 BRT 2024","passed","Mon Nov 18 21:43:25 BRT 2024","","","",""
"","8011","Test Case 8: Verify All Products and product detail page","Automation Exercise - Products Feature","Mon Nov 18 21:42:28 BRT 2024","passed","Mon Nov 18 21:42:36 BRT 2024","","","",""
"","5970","Test Case 6: Contact Us Form","Automation Exercise - Contact Us Feature","Mon Nov 18 21:42:13 BRT 2024","passed","Mon Nov 18 21:42:19 BRT 2024","","","",""
"","3376","Test Case 5: Register User with existing email","Automation Exercise - Login Feature","Mon Nov 18 21:43:44 BRT 2024","passed","Mon Nov 18 21:43:47 BRT 2024","","","",""
"","5919","Test Case 2: Login User with correct email and password","Automation Exercise - Login Feature","Mon Nov 18 21:43:25 BRT 2024","passed","Mon Nov 18 21:43:31 BRT 2024","","","",""
"","5912","Test Case 3: Login User with incorrect email and password","Automation Exercise - Login Feature","Mon Nov 18 21:43:31 BRT 2024","passed","Mon Nov 18 21:43:37 BRT 2024","","","",""
"","5230","Test Case 10: Verify Subscription in home page","Automation Exercise","Mon Nov 18 21:43:51 BRT 2024","passed","Mon Nov 18 21:43:56 BRT 2024","","","",""
